Age,Income,Experience,LoanAmount,InterestRate,CreditHistoryLength,CreditScore,LoanApprovalStatus
24,62192,3,20000,10.38,3,640,Yes
22,62045,0,20000,12.53,3,629,Yes
22,62350,1,20000,13.47,2,677,Yes
24,62508,0,20000,12.21,4,571,Yes
25,63607,2,20000,10.99,3,647,Yes
25,63921,3,20000,11.36,4,568,Yes
22,56273,0,20000,16,4,700,Yes
26,24569,4,1500,7.74,3,570,No
24,63481,3,20000,15.65,2,633,Yes
25,56451,0,20000,11.78,2,646,Yes
24,63897,0,20000,11.01,3,614,Yes
22,57193,0,20000,16.77,3,532,Yes
22,65874,0,20000,9.91,4,617,Yes
23,58705,3,20000,15.65,4,603,Yes
23,58236,2,20000,14.96,3,588,Yes
23,65738,0,20000,11.83,4,668,Yes
24,59765,2,20000,11.66,4,643,Yes
26,67019,2,20000,12.18,4,639,Yes
24,67265,2,20000,6.91,2,525,Yes
25,66906,3,20000,6.91,3,666,Yes
26,59603,7,20000,19.79,3,642,Yes
25,67174,2,20000,9.88,4,646,Yes
22,24993,1,16600,9.76,3,634,No
23,66844,0,20000,12.53,2,655,Yes
25,67482,6,20000,11.01,4,682,Yes
23,24853,0,7125,6.99,2,631,No
23,69387,2,20000,16.89,2,600,Yes
22,62379,0,20000,17.49,4,641,Yes
23,24853,0,2500,16.82,2,524,No
26,24751,2,3600,11.01,2,669,No
22,70529,1,20000,13.11,2,593,Yes
23,71255,2,20000,7.66,3,654,Yes
26,71761,3,20000,6.17,3,665,Yes
26,64550,8,20000,16.35,4,649,Yes
23,72969,1,20000,7.9,2,579,Yes
24,66060,4,20000,16.49,2,671,Yes
21,25666,0,3550,11.01,4,693,No
26,25229,3,7000,8,2,626,No
24,72762,6,20000,10.99,2,677,Yes
24,25451,3,7750,6.91,3,594,No
25,65742,1,20000,8.88,3,592,Yes
24,73352,1,20000,11.01,4,583,Yes
23,65733,0,20000,14.84,3,592,Yes
23,65802,3,20000,11.12,2,628,Yes
22,72562,1,20000,7.88,3,567,Yes
25,73028,1,20000,11.01,2,654,Yes
22,25537,0,6000,15.99,4,623,No
24,25526,1,5500,10.99,4,661,No
25,73266,1,20000,11.01,3,658,Yes
25,65555,1,20000,15.65,3,667,Yes
24,65678,4,20000,17.04,3,602,Yes
23,73286,3,20000,12.21,2,687,Yes
21,25416,1,1275,15.23,3,626,No
25,65967,6,20000,14.11,4,662,Yes
24,73202,1,20000,11.14,2,536,Yes
21,25710,0,2400,11.49,4,623,No
24,73058,3,20000,13.87,4,647,Yes
26,72650,3,20000,10.08,4,606,Yes
23,66301,2,20000,16.7,4,645,Yes
24,66951,2,20000,18.64,2,632,Yes
24,73899,0,20000,12.18,4,634,Yes
22,25644,2,3800,11.01,3,645,No
25,75578,2,20000,6.54,3,574,Yes
24,68349,3,20000,14.61,4,576,Yes
21,68120,0,20000,17.39,3,664,Yes
24,75484,2,20000,11.12,2,562,Yes
25,75802,2,20000,11.48,2,637,Yes
25,76733,2,20000,12.42,3,656,Yes
26,70484,4,20000,10.25,2,590,Yes
23,78886,1,20000,10.65,3,653,Yes
24,25992,3,5000,16.29,3,612,No
23,79348,0,20000,10.37,2,703,Yes
23,78597,1,20000,11.49,3,596,Yes
24,26216,0,10000,10.59,4,586,No
25,26133,4,5375,13.49,2,650,No
26,71856,6,20000,11.01,4,610,Yes
23,72259,2,20000,12.29,4,650,Yes
21,25869,0,3500,17.27,2,579,Yes
26,79098,2,20000,11.99,2,534,Yes
25,71754,4,20000,14.84,2,540,Yes
23,71688,0,20000,10.83,2,584,Yes
23,79539,5,20000,13.22,2,584,Yes
22,81282,1,20000,12.18,2,639,No
23,81580,1,20000,11.11,2,607,No
24,81639,4,20000,13.48,2,681,No
26,82432,6,20000,10.75,4,710,No
25,82737,4,20000,12.53,4,634,No
24,75890,2,20000,14.84,4,595,Yes
23,84428,1,20000,17.74,2,707,No
25,85061,1,20000,9.99,2,627,No
22,84791,0,20000,6.91,4,592,No
25,77982,6,20000,11.01,4,699,Yes
25,86325,2,20000,14.09,2,566,No
22,26244,0,3000,11.49,3,667,No
23,86183,1,20000,14.09,3,638,No
23,67625,0,20000,15.2,4,620,Yes
24,87261,1,20000,11.83,2,667,No
24,25826,4,6000,12.21,2,655,No
23,80180,0,20000,14.11,3,666,Yes
22,80179,0,20000,14.42,2,655,Yes
24,87458,3,20000,14.74,3,604,No
24,89922,0,20000,12.69,3,672,No
22,26137,0,1625,16.89,3,596,Yes
25,91179,0,20000,11.01,4,658,No
21,26112,0,4500,11.01,2,608,Yes
25,26559,2,8500,9.63,4,686,No
24,91001,0,20000,8.88,3,687,No
26,90978,3,20000,6.91,4,652,No
26,90805,4,20000,11.01,3,603,No
25,91130,0,20000,10.38,3,622,No
22,83759,1,20000,10.99,4,660,Yes
22,91033,1,20000,11.01,2,572,No
21,26887,0,7575,11.01,3,641,No
26,26792,4,5200,12.42,3,674,No
24,83573,1,20000,14.82,4,693,Yes
23,91541,4,20000,16.32,3,628,No
23,72279,2,20000,16,3,688,Yes
23,92304,0,20000,10.37,3,635,No
26,85207,2,20000,13.16,3,662,Yes
24,85232,5,20000,14.88,4,652,Yes
22,93127,2,20000,13.98,4,619,No
26,86320,2,20000,13.36,2,655,Yes
21,26946,0,7125,6.99,3,653,No
22,26711,0,4025,5.42,4,565,No
24,26769,2,8000,5.42,2,613,No
26,94812,4,20000,13.85,4,663,No
22,27119,0,4000,12.99,2,540,No
26,27046,5,4200,9.99,3,598,No
22,26902,4,1400,11.01,2,653,No
23,74473,0,20000,11.14,2,460,Yes
21,27072,0,3800,5.99,2,643,No
24,87447,6,20000,11.01,4,632,Yes
23,94310,0,20000,11.58,3,578,No
23,95354,2,20000,13.85,4,642,No
23,96236,0,20000,16.89,4,688,No
23,96969,2,20000,7.9,4,696,No
23,27201,0,6000,12.68,4,527,No
22,76808,0,20000,14.91,4,611,Yes
24,97157,0,20000,13.06,4,545,No
25,96773,3,20000,8.88,4,644,No
23,26954,0,2000,6.17,4,511,No
22,96673,1,20000,13.98,4,616,No
22,26872,3,8500,6.54,4,656,No
26,76420,2,20000,13.85,3,656,Yes
26,27097,2,1000,10.36,3,581,No
25,89914,7,20000,15.95,4,477,Yes
25,96778,2,20000,14.26,4,664,No
23,97783,0,20000,11.71,2,563,No
22,98255,0,20000,13.49,4,623,No
24,26747,1,2000,14.84,2,704,Yes
22,99459,0,20000,11.01,2,691,No
23,92036,2,20000,15.05,4,648,Yes
22,93070,0,20000,13.79,4,662,Yes
24,101201,6,20000,13.48,3,569,No
26,26764,4,3000,6.76,2,642,No
23,102232,1,20000,11.11,4,663,No
25,101849,3,20000,13.92,2,627,No
23,26678,1,4400,12.53,2,610,No
21,27041,0,10000,11.14,2,534,No
24,95807,5,20000,14.11,2,678,Yes
23,103275,0,20000,7.49,2,597,No
25,103166,3,20000,10.25,3,653,No
26,88672,2,20000,12.53,2,571,Yes
21,27289,0,1500,11.86,3,659,No
23,27174,0,9000,7.88,3,619,No
25,102975,0,20000,11.01,2,663,No
24,27558,0,4000,11.01,2,621,No
22,105649,1,20000,13.85,4,575,No
23,27887,0,6000,13.23,4,477,No
22,109017,1,20000,11.01,4,639,No
23,94566,1,20000,18.25,2,611,Yes
24,109178,1,20000,6.54,3,630,No
23,108836,0,20000,11.49,4,560,No
26,109089,5,20000,11.49,3,537,No
22,27472,1,7000,11.71,2,694,No
23,109061,0,20000,13.57,4,657,No
25,110319,1,20000,14.35,3,572,No
26,27309,1,3825,10.65,4,618,No
22,111365,1,20000,15.65,2,649,No
22,27358,0,6500,11.01,4,496,No
25,27570,0,5875,6.62,2,680,Yes
25,111834,1,20000,9.25,2,606,No
22,27122,2,2400,11.71,3,612,No
24,27730,0,8000,5.42,4,477,No
26,113057,0,20000,9.45,4,606,No
23,27666,0,1550,7.49,2,658,Yes
22,114267,0,20000,11.01,2,602,No
23,100420,4,20000,11.01,2,571,Yes
23,115130,4,20000,10.99,2,701,No
24,114976,3,20000,11.01,3,665,No
21,27648,0,7350,7.66,2,635,No
23,116295,0,20000,13.04,3,643,No
22,27385,3,7200,7.14,2,636,No
22,103798,0,20000,15.65,4,645,Yes
22,118565,0,20000,11.83,4,575,No
24,27463,0,3000,16,2,647,No
23,120368,0,20000,15.28,4,569,No
21,27493,2,4000,15.05,4,528,No
22,27178,0,8500,15.05,4,626,No
24,120691,2,20000,14.22,3,664,No
25,106741,1,20000,16.35,3,650,Yes
26,27124,2,7500,10.96,2,600,No
25,121016,0,20000,13.06,2,672,No
25,120866,1,20000,13.06,2,563,No
25,27635,2,7500,11.01,3,665,No
23,27475,4,6700,11.01,4,605,No
22,90648,0,20000,14.96,4,653,Yes
23,90887,2,20000,17.04,2,685,Yes
22,121236,0,20000,12.21,3,580,No
25,27780,1,6400,7.88,4,672,No
26,27364,0,5400,5.42,3,646,No
26,125803,6,20000,10.74,2,636,No
23,112700,0,20000,13.22,3,559,Yes
23,114961,1,20000,14.59,2,654,Yes
25,130715,5,20000,11.01,4,632,No
25,117215,2,20000,11.01,3,672,Yes
23,132975,1,20000,12.42,3,630,No
22,132669,0,20000,14.17,3,476,No
22,132809,0,20000,13.72,3,691,No
24,133069,2,20000,10.38,4,672,No
23,133031,0,20000,11.01,2,709,No
22,28529,1,2000,7.51,3,521,No
22,28518,0,7125,11.71,3,564,Yes
23,28149,0,3000,8.9,2,626,Yes
25,103168,1,20000,17.39,2,662,Yes
23,28372,0,4800,5.79,2,667,No
22,28527,2,8300,12.61,2,690,Yes
23,145007,1,20000,10.37,4,628,No
24,27861,0,4750,11.36,3,562,No
24,146157,0,20000,8.9,3,670,No
23,150985,0,20000,11.11,4,602,No
22,28613,0,3000,8.94,2,595,No
25,157396,3,20000,15.27,2,687,No
26,156668,3,20000,13.11,4,668,No
23,28773,0,6000,16,2,657,No
24,160903,0,20000,12.36,2,527,No
22,28257,0,10625,7.51,4,524,No
21,28410,0,7000,8.9,3,606,No
25,168862,0,20000,6.54,4,546,No
24,166817,2,20000,15.99,3,681,Yes
23,28492,2,3600,17.27,3,502,Yes
26,178602,6,20000,17.99,3,604,Yes
22,193248,0,20000,7.49,4,599,No
22,27969,0,4800,10,4,644,No
26,193076,4,20000,9.99,3,660,No
26,202337,2,20000,11.36,4,652,No
26,208059,4,20000,11.83,2,615,No
21,28786,0,3000,13.35,3,638,No
25,210999,2,20000,14.72,2,680,No
25,28595,2,4400,6.76,2,611,No
25,70930,0,19900,11.83,4,578,Yes
26,140072,0,19800,11.48,4,617,No
26,24756,8,500,11.41,2,659,No
25,28644,4,10000,11.01,2,570,Yes
21,23899,1,700,12.29,2,658,No
22,28752,0,7000,14.96,3,484,No
25,23980,6,750,12.29,4,645,No
23,13059,0,1000,10.37,2,541,Yes
22,13021,1,1000,14.74,4,610,Yes
21,13197,1,1000,13.43,4,722,Yes
22,29111,0,2400,9.63,4,668,No
21,28319,0,2400,12.21,4,628,No
23,13817,1,1000,10.25,2,667,Yes
22,14763,0,1000,12.99,4,540,No
22,15248,0,1000,13.98,4,547,No
23,15553,3,1000,14.65,3,602,No
25,15255,2,1000,10.65,2,611,No
21,14997,0,1000,13.98,2,669,No
22,15102,1,1000,13.57,3,559,Yes
22,16077,3,1000,14.96,3,642,Yes
24,17683,0,1000,10,4,562,Yes
21,18221,0,1000,16.29,4,559,Yes
23,28684,1,2000,11.11,3,591,No
21,28348,0,5000,11.01,3,506,No
22,18290,2,1000,16.69,3,623,Yes
21,28367,0,15000,8.94,2,600,No
22,18923,0,1000,14.3,3,599,Yes
21,20259,0,1000,15.65,3,604,Yes
24,21414,3,1000,11.49,3,619,No
22,20953,0,1000,13.48,4,665,No
24,24085,3,1000,12.53,4,655,No
23,48233,2,19000,10.62,2,606,Yes
22,48844,0,19000,12.18,3,562,Yes
25,57272,1,19000,11.99,2,648,Yes
25,61342,1,19000,10.99,4,645,Yes
25,63600,0,19000,11.01,4,610,Yes
24,29212,1,7000,10.38,3,607,No
26,57891,2,19000,16.7,4,649,Yes
25,65799,2,19000,11.01,4,640,Yes
22,66071,0,19000,11.01,4,664,Yes
23,66303,3,19000,11.14,2,611,Yes
26,75656,7,19000,7.49,2,621,Yes
22,84974,1,19000,8.88,4,589,No
23,87479,3,19000,10.99,4,671,No
24,88452,0,19000,10.62,3,653,No
23,94830,0,19000,8.9,2,642,No
25,29498,6,6000,14.59,2,664,Yes
22,29756,1,2500,9.91,2,592,No
26,116006,3,19000,13.22,2,663,No
24,126727,0,19000,12.29,2,582,No
24,210705,0,19000,11.48,3,655,No
26,61142,1,18950,11.01,3,632,Yes
26,67267,2,18800,6.99,2,505,Yes
22,84840,4,18750,10.38,2,661,No
22,44761,0,18725,6.54,3,667,Yes
22,52878,0,18550,11.83,4,694,Yes
24,29659,4,7100,12.42,3,641,No
24,42042,0,18500,10.71,2,640,Yes
21,44065,0,18500,10.91,3,690,Yes
22,46436,0,18500,7.66,4,673,Yes
25,67957,6,18500,13.61,3,619,Yes
23,90359,3,18500,11.26,3,697,No
25,90794,1,18500,7.49,3,608,No
24,88481,1,18500,7.9,2,605,Yes
22,29833,1,8000,9.91,2,592,No
21,29833,0,3000,7.9,4,642,No
24,94624,1,18500,15.33,2,692,Yes
26,174957,3,18500,12.87,3,584,No
22,29781,2,5000,7.9,2,598,No
22,59476,3,18400,13.16,2,653,Yes
22,61014,0,18400,9.99,2,649,Yes
23,145076,0,18400,8.9,2,674,No
22,29823,0,5000,14.65,4,655,Yes
25,29628,0,6000,13.49,3,636,No
22,42149,1,18250,10.25,3,571,Yes
24,42910,1,18250,11.49,4,631,Yes
25,42253,3,18250,17.04,3,587,Yes
23,52308,0,18250,10.25,3,657,Yes
22,29875,0,1300,5.42,3,687,No
22,45672,0,18250,14.61,2,561,Yes
24,56134,0,18250,13.35,4,684,Yes
25,29750,0,5800,5.99,3,639,No
23,56040,0,18250,10.75,2,590,Yes
25,56207,0,18250,14.26,3,610,Yes
25,67109,1,18250,17.56,2,594,Yes
25,59820,1,18250,14.83,3,609,Yes
22,60829,1,18250,16.7,3,633,Yes
23,60902,0,18225,10.74,2,685,Yes
26,53842,3,18225,14.91,4,663,Yes
24,43839,1,18200,8.88,4,562,Yes
25,44695,3,18200,9.91,4,647,Yes
22,44500,0,18200,11.71,3,601,Yes
24,66842,3,18200,10.99,2,639,Yes
23,33227,0,18000,11.54,4,679,Yes
23,29733,0,8000,15.62,2,639,No
23,41153,3,18000,9.91,4,662,Yes
21,44105,0,18000,9.88,3,654,Yes
21,38061,1,18000,13.48,4,693,Yes
23,48706,0,18000,9.25,4,662,Yes
25,48986,3,18000,13.11,3,675,Yes
22,29645,0,5000,10.99,4,624,No
25,51103,4,18000,6.17,2,642,Yes
24,30073,2,8000,5.99,4,689,No
24,29678,1,2400,7.49,2,603,No
24,52304,0,18000,11.03,2,487,Yes
24,52468,4,18000,7.9,2,608,Yes
22,53665,0,18000,13.57,4,664,Yes
24,53603,0,18000,12.18,2,660,Yes
25,47902,2,18000,17.19,3,654,Yes
22,57121,0,18000,15.23,2,672,Yes
22,58364,0,18000,11.01,2,591,Yes
24,51764,0,18000,14.46,3,618,Yes
24,29776,4,4200,6.99,3,614,No
24,53028,2,18000,16.63,2,709,Yes
24,61117,0,18000,12.42,4,674,Yes
24,61070,1,18000,7.9,4,628,Yes
23,29966,1,5000,15.99,2,673,Yes
23,29640,3,4200,10.99,4,595,No
26,60841,7,18000,13.11,3,651,Yes
22,60669,0,18000,13.79,2,618,Yes
22,29540,0,2500,10.59,2,620,No
22,63084,0,18000,11.01,4,641,Yes
22,29906,0,6000,12.68,4,638,No
25,63657,4,18000,12.98,4,572,Yes
22,63459,2,18000,13.85,4,683,Yes
25,63913,3,18000,12.21,2,647,Yes
22,57005,0,18000,10.71,3,554,Yes
24,58556,0,18000,6.54,2,634,Yes
23,30483,0,8000,5.79,3,574,No
25,67108,3,18000,12.84,2,594,Yes
25,67409,4,18000,10.99,4,646,Yes
23,30059,0,1375,11.11,4,506,Yes
24,68258,2,18000,13.48,3,671,Yes
21,60821,0,18000,14.74,2,530,Yes
25,70432,6,18000,11.01,4,609,Yes
21,63842,0,18000,19.69,2,678,Yes
26,64459,4,18000,17.19,3,661,Yes
22,73175,0,18000,16.32,4,667,No
22,72947,2,18000,9.33,3,631,No
25,74953,2,18000,13.23,2,515,No
26,29960,5,5000,7.66,3,664,Yes
22,75259,0,18000,13.85,4,634,No
23,29749,0,5600,9.63,3,655,No
24,29914,0,10000,6.92,4,513,No
22,76368,2,18000,9.63,4,562,No
23,76732,2,18000,10.99,3,618,No
23,76941,2,18000,13.57,3,659,No
25,79049,4,18000,11.01,3,536,No
25,79231,3,18000,13.99,3,562,No
24,71798,1,18000,14.96,4,603,Yes
25,79211,1,18000,11.01,3,610,No
26,71618,1,18000,16,4,675,Yes
26,73027,5,18000,16.29,2,662,Yes
25,80198,1,18000,10.25,3,578,No
21,82727,0,18000,10.65,2,625,No
24,85246,2,18000,9.88,2,591,No
25,66195,2,18000,16,2,668,Yes
25,85830,5,18000,16.45,2,625,No
25,78750,5,18000,15.33,4,718,Yes
26,87291,5,18000,11.83,2,692,No
24,80615,4,18000,14.54,4,584,Yes
24,87404,0,18000,7.88,2,600,No
24,29643,3,3000,13.98,2,597,No
23,89331,0,18000,11.01,2,682,No
25,30184,4,1200,15.21,4,689,No
23,90938,1,18000,12.73,4,616,No
25,29110,2,3500,15.58,2,532,Yes
23,91967,2,18000,9.88,3,578,No
21,29879,0,7000,11.86,2,617,No
26,94747,4,18000,13.49,2,672,No
21,97282,0,18000,7.9,2,695,No
23,97195,1,18000,8.49,3,655,No
22,97065,2,18000,10.99,4,667,No
26,97068,1,18000,13.85,3,661,No
23,98110,2,18000,13.98,2,568,No
23,29589,2,2800,16.07,3,613,Yes
23,99196,0,18000,11.01,2,658,No
23,93092,0,18000,10.65,4,540,Yes
24,29935,0,8500,15.7,2,606,No
26,29897,1,2100,13.11,3,674,No
22,100074,0,18000,15.27,2,652,No
26,29511,6,6000,10.99,4,578,No
25,101710,4,18000,9.88,3,692,No
22,29732,0,2500,7.14,2,661,No
25,102979,4,18000,11.71,4,652,No
26,104467,3,18000,8.49,2,691,No
23,105627,2,18000,11.89,2,709,No
23,106616,0,18000,13.16,4,687,No
23,109401,2,18000,8.88,4,684,No
24,114882,0,18000,8.49,4,520,No
26,115195,4,18000,15.31,3,541,No
24,123296,0,18000,12.53,3,555,No
24,132997,3,18000,12.18,4,609,No
23,106067,1,18000,7.51,3,677,Yes
26,140325,2,18000,11.83,4,675,No
24,146325,2,18000,18.3,3,624,No
22,151146,1,18000,14.79,3,642,No
25,29847,0,5000,10.95,3,618,No
22,174540,0,18000,13.72,3,599,No
24,186778,6,18000,10.62,4,671,No
22,29678,0,5000,12.21,3,589,No
21,91133,0,17950,10.91,3,632,No
26,156904,4,17950,11.01,2,689,No
25,29768,2,7000,9.63,3,588,No
23,75751,0,17800,16.35,3,706,Yes
23,29703,0,1500,12.21,2,614,No
22,58463,2,17750,13.49,4,631,Yes
22,79018,0,17700,11.49,2,580,No
26,29774,5,8000,9.76,3,626,No
24,29945,2,8000,11.34,4,608,No
22,29719,0,3975,13.87,3,581,No
23,54940,0,17625,8.9,4,632,Yes
25,71926,3,17600,12.99,2,674,No
22,79198,3,17600,10.74,2,658,No
24,85015,2,17600,10.62,2,671,No
24,86667,4,17600,11.01,4,687,No
21,29771,0,5000,8.7,2,637,No
23,30322,0,3500,12.99,2,638,No
24,87591,2,17600,17.19,4,575,Yes
25,39779,4,17500,15.95,3,594,Yes
23,44173,0,17500,14.22,4,590,Yes
21,45829,0,17500,12.53,2,576,Yes
21,30100,0,4500,11.83,4,634,No
21,30359,0,4000,15.05,4,616,No
24,49727,5,17500,10.62,4,546,Yes
22,30654,0,1800,11.89,4,634,No
24,30508,2,5000,10.75,3,638,No
25,53946,7,17500,12.53,4,601,Yes
23,57933,2,17500,13.61,4,603,Yes
22,59775,0,17500,13.85,2,572,Yes
23,59911,3,17500,13.85,4,530,Yes
23,64829,0,17500,6.54,2,606,Yes
24,67010,2,17500,17.19,3,652,Yes
24,70497,0,17500,13.49,4,661,No
23,71775,2,17500,9.25,4,613,No
26,73071,4,17500,6.54,4,663,No
26,90937,6,17500,7.9,2,659,No
22,30807,1,5500,13.16,2,648,Yes
25,115940,3,17500,11.71,2,622,No
21,31015,0,2000,13.99,3,685,No
23,49136,3,17475,9.91,2,618,Yes
21,55627,0,17475,9.91,2,628,Yes
23,30846,2,5000,12.69,2,670,No
22,70863,0,17475,7.51,3,677,No
24,99296,3,17400,11.99,4,637,No
24,115945,2,17400,10.37,2,619,No
24,160759,1,17400,11.71,4,525,No
24,115184,0,17200,17.58,3,702,No
23,42839,0,17000,10.37,2,658,Yes
26,36434,7,17000,12.99,2,724,Yes
21,30833,0,7000,15.58,2,656,No
22,49087,2,17000,10.65,4,669,Yes
22,50833,0,17000,12.87,3,632,Yes
22,51715,2,17000,7.66,4,666,Yes
24,52999,4,17000,13.47,3,642,Yes
24,55854,0,17000,10.38,2,578,Yes
23,57593,2,17000,9.99,4,592,Yes
25,61097,2,17000,16.82,3,623,Yes
24,60984,2,17000,13.79,3,653,Yes
23,31332,1,4575,11.01,2,634,No
23,31349,4,8000,11.26,2,689,No
23,62182,0,17000,8.49,4,625,Yes
24,54942,3,17000,14.96,2,700,Yes
25,63261,3,17000,12.98,2,610,Yes
21,31155,0,6500,11.34,4,610,No
23,63351,1,17000,11.58,4,686,Yes
24,64211,0,17000,11.01,3,649,Yes
23,66950,1,17000,9.88,4,619,Yes
26,31024,5,7400,11.01,2,567,No
24,68170,0,17000,7.51,3,614,No
23,64556,3,17000,10.25,4,577,Yes
22,31115,0,2400,14.27,2,636,No
23,72793,0,17000,11.11,2,625,No
25,73028,7,17000,6.91,2,710,No
23,31178,1,4000,15.27,4,649,No
25,75508,5,17000,5.99,3,685,No
26,79101,5,17000,13.47,2,578,No
23,84499,0,17000,8.88,3,645,No
25,87492,3,17000,7.88,3,558,No
24,90980,2,17000,12.53,2,669,No
24,91266,2,17000,9.33,3,647,No
23,94695,2,17000,10.99,3,651,No
21,30831,0,3600,9.91,4,718,No
23,103010,1,17000,13.11,2,688,No
22,107908,0,17000,9.63,4,683,No
26,80871,3,17000,16.77,3,541,Yes
23,109240,1,17000,10.59,3,572,No
26,115122,6,17000,11.49,3,641,No
22,116194,0,17000,11.48,2,514,No
25,137594,1,17000,10.37,3,669,No
26,210866,1,17000,9.88,3,501,No
21,59902,0,16950,18.25,4,625,Yes
24,87431,6,16875,6.54,4,674,No
26,30654,3,7000,6.99,2,609,No
23,31092,3,7200,8.49,2,511,No
22,42672,0,16800,10.99,4,660,Yes
22,61297,2,16800,12.53,3,577,Yes
22,30825,0,1800,8.49,2,538,No
24,67065,2,16800,11.01,4,661,Yes
22,73185,0,16800,14.65,4,637,No
24,73002,4,16800,6.54,2,681,No
23,72852,0,16800,13.85,2,547,No
26,65653,3,16800,12.67,3,580,Yes
22,31452,0,3000,9.99,3,670,Yes
22,79817,0,16800,13.49,3,671,No
22,71832,2,16800,16.77,2,661,Yes
24,90064,5,16800,15.65,3,619,Yes
26,117398,2,16800,12.42,3,605,No
